"Month";"Category";"TotalSales"
"2020-11";"Beauty";"4027.80"
"2020-11";"Clothing";"3496.21"
"2021-01";"Beauty";"13564.14"
"2021-01";"Furniture";"6859.20"
"2021-01";"Groceries";"5645.95"
"2021-02";"Furniture";"19619.64"
"2021-02";"Beauty";"3902.40"
"2021-03";"Groceries";"29729.88"
"2021-03";"Furniture";"23007.28"
"2021-04";"Furniture";"23396.94"
"2021-04";"Groceries";"19573.75"
"2021-05";"Beauty";"31128.30"
"2021-05";"Clothing";"16320.24"
"2021-06";"Electronics";"18998.22"
"2021-06";"Groceries";"8909.00"
"2021-07";"Groceries";"3991.98"
"2021-07";"Beauty";"3353.70"
"2021-08";"Electronics";"4507.32"
"2021-09";"Furniture";"16488.22"
"2021-10";"Furniture";"14576.08"
"2021-11";"Beauty";"14797.92"
"2022-01";"Clothing";"49756.60"
"2022-02";"Electronics";"31436.73"
"2022-03";"Groceries";"12569.22"
"2022-06";"Clothing";"10733.30"
"2022-07";"Groceries";"19378.30"
"2022-07";"Furniture";"6899.40"
"2022-09";"Beauty";"21630.50"
"2022-09";"Electronics";"11927.38"
"2022-10";"Beauty";"1446.36"
"2023-01";"Groceries";"15788.61"
"2023-02";"Beauty";"28379.58"
"2023-02";"Electronics";"18430.22"
"2023-02";"Groceries";"11235.00"
"2023-03";"Beauty";"15269.32"
"2023-03";"Electronics";"14318.90"
"2023-04";"Electronics";"12192.33"
"2023-04";"Furniture";"4318.02"
"2023-06";"Beauty";"2983.26"
"2023-08";"Furniture";"29261.79"
"2023-09";"Electronics";"25623.84"
"2023-11";"Electronics";"927.52"
"2023-12";"Beauty";"8524.65"
"2024-01";"Furniture";"31350.56"
"2024-01";"Clothing";"22991.43"
"2024-02";"Beauty";"12089.56"
"2024-04";"Electronics";"35211.51"
"2024-04";"Beauty";"27884.50"
"2024-04";"Clothing";"8204.88"
"2024-05";"Groceries";"44573.49"
"2024-05";"Clothing";"5180.20"
"2024-07";"Clothing";"158.46"
"2024-09";"Furniture";"4717.14"
"2024-12";"Furniture";"5196.99"
"2025-01";"Groceries";"29767.28"
"2025-02";"Furniture";"6140.94"
"2025-03";"Furniture";"45637.99"
"2025-03";"Clothing";"22870.54"
"2025-03";"Beauty";"3733.29"
"2025-04";"Furniture";"23022.90"
"2025-05";"Beauty";"44756.22"
"2025-06";"Electronics";"20213.20"
"2025-10";"Electronics";"36810.79"
"2025-11";"Groceries";"14728.30"
"2026-01";"Clothing";"31776.71"
"2026-01";"Electronics";"29411.36"
"2026-01";"Groceries";"13976.07"
"2026-02";"Clothing";"25474.80"
"2026-02";"Furniture";"3182.64"
"2026-03";"Groceries";"28079.28"
"2026-04";"Electronics";"32420.61"
"2026-04";"Beauty";"3695.80"
"2026-04";"Clothing";"937.38"
"2026-06";"Electronics";"2674.76"
"2026-08";"Clothing";"2433.12"
"2026-11";"Furniture";"2398.92"
"2026-11";"Groceries";"758.55"
"2026-12";"Clothing";"50454.83"
"2027-01";"Clothing";"21818.80"
"2027-02";"Clothing";"8660.70"
"2027-02";"Beauty";"4391.80"
"2027-03";"Electronics";"12870.04"
"2027-04";"Beauty";"11369.43"
"2027-04";"Groceries";"3546.48"
"2027-05";"Furniture";"20446.80"
"2027-06";"Electronics";"22466.04"
"2027-07";"Clothing";"2939.84"
"2027-08";"Groceries";"32909.76"
"2027-09";"Electronics";"17073.24"
"2027-10";"Furniture";"22062.60"
"2027-11";"Clothing";"3088.50"
"2027-12";"Beauty";"9184.63"
"2028-01";"Beauty";"3412.88"
"2028-02";"Furniture";"26235.37"
"2028-02";"Beauty";"20948.48"
"2028-02";"Electronics";"13527.18"
"2028-03";"Groceries";"28478.10"
"2028-03";"Electronics";"1605.35"
"2028-04";"Clothing";"14185.32"
"2028-04";"Beauty";"1847.52"
"2028-04";"Electronics";"644.61"
"2028-09";"Electronics";"6268.18"
"2028-10";"Electronics";"38521.20"
"2028-10";"Groceries";"3371.53"
"2028-11";"Furniture";"51301.38"
"2028-11";"Electronics";"730.04"
"2029-01";"Groceries";"8656.20"
"2029-01";"Furniture";"172.54"
"2029-02";"Electronics";"16374.47"
"2029-02";"Groceries";"5528.88"
"2029-02";"Beauty";"1368.49"
"2029-03";"Groceries";"22592.95"
"2029-03";"Electronics";"20076.00"
"2029-03";"Beauty";"796.26"
"2029-04";"Clothing";"24364.60"
"2029-05";"Clothing";"14966.90"
"2029-09";"Furniture";"11670.19"
"2029-11";"Beauty";"2041.32"
"2029-12";"Groceries";"6229.96"
"2030-01";"Clothing";"43915.18"
"2030-01";"Electronics";"12733.70"
"2030-01";"Groceries";"2467.68"
"2030-03";"Furniture";"13111.62"
"2030-03";"Groceries";"9247.90"
"2030-03";"Electronics";"5927.50"
"2030-04";"Beauty";"1848.29"
"2030-05";"Electronics";"11041.68"
"2030-07";"Beauty";"7900.76"
"2030-07";"Electronics";"3690.09"
"2030-09";"Furniture";"1808.73"
"2030-10";"Groceries";"29816.55"
"2030-12";"Electronics";"23180.10"
"2030-12";"Clothing";"20144.96"
"2030-12";"Groceries";"3762.28"
"2031-01";"Furniture";"1748.39"
"2031-03";"Groceries";"26814.56"
"2031-03";"Clothing";"14821.38"
"2031-05";"Clothing";"7978.88"
"2031-07";"Furniture";"20090.97"
"2031-07";"Groceries";"9429.06"
"2031-08";"Electronics";"13797.75"
