"Month";"SalesChannel";"TotalSales"
"2015-03";"Offline";"65679.15"
"2015-03";"Online";"23081.17"
"2015-04";"Offline";"9999.68"
"2015-04";"Online";"1698.96"
"2015-06";"Online";"1614.16"
"2015-07";"Offline";"23905.35"
"2015-11";"Offline";"2648.10"
"2015-12";"Offline";"7541.46"
"2016-01";"Offline";"11062.90"
"2016-02";"Offline";"13165.84"
"2016-03";"Offline";"21575.69"
"2016-04";"Online";"30881.07"
"2016-05";"Offline";"4757.55"
"2016-05";"Online";"2746.40"
"2016-06";"Offline";"20280.10"
"2016-06";"Online";"3974.00"
"2016-07";"Online";"34857.72"
"2016-08";"Offline";"9221.60"
"2016-08";"Online";"29148.49"
"2016-10";"Offline";"62044.44"
"2016-10";"Online";"3855.46"
"2016-12";"Offline";"6681.54"
"2017-01";"Offline";"37784.56"
"2017-02";"Online";"49928.13"
"2017-03";"Online";"981.78"
"2017-04";"Offline";"19105.17"
"2017-05";"Offline";"7680.30"
"2017-05";"Online";"3001.11"
"2017-06";"Offline";"1826.12"
"2017-06";"Online";"30359.30"
"2017-07";"Offline";"20762.84"
"2017-08";"Online";"3511.71"
"2017-10";"Offline";"34308.18"
"2017-10";"Online";"4594.25"
"2017-11";"Online";"7239.15"
"2017-12";"Online";"3205.32"
"2018-01";"Online";"53302.50"
"2018-02";"Online";"2141.10"
"2018-03";"Online";"6457.01"
"2018-04";"Offline";"34885.71"
"2018-05";"Online";"3172.08"
"2018-06";"Online";"9703.50"
"2018-07";"Online";"7053.56"
"2018-08";"Online";"23883.10"
"2018-09";"Offline";"51827.09"
"2018-10";"Offline";"9637.78"
"2018-10";"Online";"141.72"
"2018-11";"Offline";"18023.22"
"2018-11";"Online";"2276.60"
"2018-12";"Offline";"51458.58"
"2019-01";"Offline";"4259.61"
"2019-01";"Online";"15633.13"
"2019-02";"Online";"6760.16"
"2019-03";"Offline";"13675.05"
"2019-03";"Online";"23292.08"
"2019-05";"Online";"4351.52"
"2019-07";"Online";"54783.82"
"2019-08";"Offline";"15530.22"
"2019-08";"Online";"35929.66"
"2019-10";"Offline";"1941.06"
"2019-10";"Online";"44641.60"
"2020-01";"Online";"20030.76"
"2020-02";"Offline";"12360.06"
"2020-02";"Online";"20239.31"
"2020-03";"Online";"1619.64"
"2020-04";"Offline";"47017.04"
"2020-10";"Offline";"1314.58"
"2020-10";"Online";"2277.40"
"2020-11";"Offline";"13790.67"
"2021-01";"Offline";"5645.95"
"2021-01";"Online";"20423.34"
"2021-02";"Offline";"3902.40"
"2021-02";"Online";"19619.64"
"2021-03";"Online";"52737.16"
"2021-04";"Online";"42970.69"
"2021-05";"Offline";"16320.24"
"2021-05";"Online";"31128.30"
"2021-06";"Offline";"27907.22"
"2021-07";"Online";"7345.68"
"2021-08";"Offline";"4507.32"
"2021-09";"Offline";"16488.22"
"2021-10";"Offline";"14576.08"
"2021-11";"Offline";"14797.92"
"2022-01";"Offline";"49756.60"
"2022-02";"Online";"31436.73"
"2022-03";"Online";"12569.22"
"2022-06";"Online";"10733.30"
"2022-07";"Offline";"6899.40"
"2022-07";"Online";"19378.30"
"2022-09";"Offline";"1735.24"
"2022-09";"Online";"31822.64"
"2022-10";"Online";"1446.36"
"2023-01";"Offline";"15788.61"
"2023-02";"Offline";"21218.60"
"2023-02";"Online";"36826.20"
"2023-03";"Online";"29588.22"
"2023-04";"Online";"16510.35"
"2023-06";"Online";"2983.26"
"2023-08";"Offline";"29261.79"
"2023-09";"Offline";"25623.84"
"2023-11";"Offline";"927.52"
"2023-12";"Offline";"8524.65"
"2024-01";"Online";"54341.99"
"2024-02";"Offline";"12089.56"
"2024-04";"Offline";"43416.39"
"2024-04";"Online";"27884.50"
"2024-05";"Online";"49753.69"
"2024-07";"Online";"158.46"
"2024-09";"Online";"4717.14"
"2024-12";"Online";"5196.99"
"2025-01";"Online";"29767.28"
"2025-02";"Online";"6140.94"
"2025-03";"Offline";"16722.60"
"2025-03";"Online";"55519.22"
"2025-04";"Offline";"23022.90"
"2025-05";"Offline";"44756.22"
"2025-06";"Online";"20213.20"
"2025-10";"Offline";"13482.55"
"2025-10";"Online";"23328.24"
"2025-11";"Offline";"14728.30"
"2026-01";"Offline";"48078.40"
"2026-01";"Online";"27085.74"
"2026-02";"Offline";"25474.80"
"2026-02";"Online";"3182.64"
"2026-03";"Offline";"28079.28"
"2026-04";"Offline";"937.38"
"2026-04";"Online";"36116.41"
"2026-06";"Offline";"2674.76"
"2026-08";"Offline";"2433.12"
"2026-11";"Online";"3157.47"
"2026-12";"Offline";"28573.33"
"2026-12";"Online";"21881.50"
"2027-01";"Offline";"21818.80"
"2027-02";"Online";"13052.50"
"2027-03";"Offline";"10374.56"
"2027-03";"Online";"2495.48"
"2027-04";"Online";"14915.91"
"2027-05";"Online";"20446.80"
"2027-06";"Offline";"22466.04"
"2027-07";"Online";"2939.84"
"2027-08";"Offline";"32909.76"
"2027-09";"Online";"17073.24"
"2027-10";"Online";"22062.60"
"2027-11";"Online";"3088.50"
"2027-12";"Offline";"9184.63"
"2028-01";"Offline";"3412.88"
"2028-02";"Offline";"39762.55"
"2028-02";"Online";"20948.48"
"2028-03";"Offline";"28452.95"
"2028-03";"Online";"1630.50"
"2028-04";"Offline";"2492.13"
"2028-04";"Online";"14185.32"
"2028-09";"Online";"6268.18"
"2028-10";"Offline";"3371.53"
"2028-10";"Online";"38521.20"
"2028-11";"Online";"52031.42"
"2029-01";"Online";"8828.74"
"2029-02";"Offline";"21903.35"
"2029-02";"Online";"1368.49"
"2029-03";"Offline";"23389.21"
"2029-03";"Online";"20076.00"
"2029-04";"Offline";"24364.60"
"2029-05";"Offline";"14966.90"
"2029-09";"Online";"11670.19"
"2029-11";"Online";"2041.32"
"2029-12";"Offline";"6229.96"
"2030-01";"Offline";"43915.18"
"2030-01";"Online";"15201.38"
"2030-03";"Offline";"19039.12"
"2030-03";"Online";"9247.90"
"2030-04";"Offline";"1848.29"
"2030-05";"Online";"11041.68"
"2030-07";"Offline";"3690.09"
"2030-07";"Online";"7900.76"
"2030-09";"Online";"1808.73"
"2030-10";"Online";"29816.55"
"2030-12";"Offline";"23907.24"
"2030-12";"Online";"23180.10"
"2031-01";"Offline";"1748.39"
"2031-03";"Online";"41635.94"
"2031-05";"Online";"7978.88"
"2031-07";"Offline";"29520.03"
"2031-08";"Online";"13797.75"
