"Month";"Region";"TotalSales"
"2012-05";"North";"272.34"
"2012-05";"South";"3626.16"
"2012-05";"West";"4151.94"
"2012-07";"South";"19797.76"
"2012-08";"West";"16925.04"
"2012-09";"East";"29453.52"
"2012-09";"West";"8185.14"
"2012-10";"South";"12665.61"
"2012-10";"West";"30713.69"
"2012-11";"South";"1217.10"
"2013-01";"East";"26421.36"
"2013-01";"North";"30534.62"
"2013-01";"West";"15968.68"
"2013-03";"East";"2889.54"
"2013-03";"South";"949.75"
"2013-04";"East";"628.48"
"2013-06";"South";"22862.85"
"2013-07";"East";"4023.64"
"2013-07";"North";"36890.60"
"2013-08";"East";"8936.73"
"2013-10";"South";"30494.73"
"2013-10";"West";"37784.48"
"2014-01";"North";"29609.68"
"2014-01";"West";"33839.28"
"2014-02";"East";"26036.05"
"2014-02";"South";"40973.85"
"2014-02";"West";"45789.60"
"2014-03";"West";"32096.96"
"2014-04";"South";"7262.44"
"2014-05";"East";"19722.32"
"2014-06";"East";"15302.66"
"2014-06";"North";"10401.66"
"2014-06";"South";"4263.45"
"2014-08";"North";"42125.49"
"2014-09";"West";"14267.20"
"2014-10";"South";"28556.04"
"2014-11";"North";"2094.39"
"2014-12";"North";"4289.67"
"2014-12";"West";"31009.84"
"2015-01";"North";"742.36"
"2015-02";"South";"13610.92"
"2015-03";"North";"1756.62"
"2015-03";"South";"46981.35"
"2015-03";"West";"40022.35"
"2015-04";"East";"1698.96"
"2015-04";"North";"1508.60"
"2015-04";"South";"8491.08"
"2015-06";"North";"1614.16"
"2015-07";"West";"23905.35"
"2015-11";"South";"2648.10"
"2015-12";"West";"7541.46"
"2016-01";"East";"2959.63"
"2016-01";"South";"8103.27"
"2016-02";"North";"13165.84"
"2016-03";"North";"6199.54"
"2016-03";"West";"15376.15"
"2016-04";"West";"30881.07"
"2016-05";"East";"4757.55"
"2016-05";"North";"2746.40"
"2016-06";"South";"24254.10"
"2016-07";"North";"9820.40"
"2016-07";"South";"25037.32"
"2016-08";"North";"19978.00"
"2016-08";"South";"9170.49"
"2016-08";"West";"9221.60"
"2016-10";"East";"45431.40"
"2016-10";"North";"16613.04"
"2016-10";"West";"3855.46"
"2016-12";"West";"6681.54"
"2017-01";"East";"37784.56"
"2017-02";"East";"29981.21"
"2017-02";"North";"19946.92"
"2017-03";"West";"981.78"
"2017-04";"South";"19105.17"
"2017-05";"North";"7680.30"
"2017-05";"South";"3001.11"
"2017-06";"East";"26369.70"
"2017-06";"West";"5815.72"
"2017-07";"South";"20762.84"
"2017-08";"West";"3511.71"
"2017-10";"South";"4594.25"
"2017-10";"West";"34308.18"
"2017-11";"South";"7239.15"
"2017-12";"West";"3205.32"
"2018-01";"South";"18843.00"
"2018-01";"West";"34459.50"
"2018-02";"West";"2141.10"
"2018-03";"East";"3363.43"
"2018-03";"South";"3093.58"
"2018-04";"East";"34885.71"
"2018-05";"East";"3172.08"
"2018-06";"East";"9703.50"
"2018-07";"South";"7053.56"
"2018-08";"South";"22234.40"
"2018-08";"West";"1648.70"
"2018-09";"East";"40645.71"
"2018-09";"West";"11181.38"
"2018-10";"East";"141.72"
"2018-10";"South";"9637.78"
"2018-11";"East";"20299.82"
"2018-12";"East";"2108.08"
"2018-12";"South";"49350.50"
"2019-01";"North";"12587.61"
"2019-01";"West";"7305.13"
"2019-02";"West";"6760.16"
"2019-03";"North";"23292.08"
"2019-03";"West";"13675.05"
"2019-05";"North";"4351.52"
"2019-07";"East";"54783.82"
"2019-08";"East";"35511.98"
"2019-08";"South";"15947.90"
"2019-10";"East";"44741.06"
"2019-10";"North";"1841.60"
"2020-01";"North";"20030.76"
"2020-02";"South";"20239.31"
"2020-02";"West";"12360.06"
"2020-03";"North";"1619.64"
"2020-04";"South";"12089.70"
"2020-04";"West";"34927.34"
"2020-10";"East";"3591.98"
"2020-11";"North";"10294.46"
"2020-11";"West";"3496.21"
"2021-01";"East";"10382.29"
"2021-01";"South";"15687.00"
"2021-02";"North";"23522.04"
"2021-03";"North";"23007.28"
"2021-03";"West";"29729.88"
"2021-04";"East";"23396.94"
"2021-04";"South";"19573.75"
"2021-05";"South";"47448.54"
"2021-06";"East";"18998.22"
"2021-06";"West";"8909.00"
"2021-07";"East";"3991.98"
"2021-07";"South";"3353.70"
"2021-08";"South";"4507.32"
"2021-09";"West";"16488.22"
"2021-10";"South";"14576.08"
"2021-11";"South";"14797.92"
"2022-01";"West";"49756.60"
"2022-02";"South";"31436.73"
"2022-03";"South";"12569.22"
"2022-06";"East";"10733.30"
"2022-07";"East";"19378.30"
"2022-07";"West";"6899.40"
"2022-09";"South";"31822.64"
"2022-09";"West";"1735.24"
"2022-10";"North";"1446.36"
"2023-01";"East";"15788.61"
"2023-02";"East";"11235.00"
"2023-02";"North";"9983.60"
"2023-02";"South";"36826.20"
"2023-03";"South";"14318.90"
"2023-03";"West";"15269.32"
"2023-04";"South";"12192.33"
"2023-04";"West";"4318.02"
"2023-06";"North";"2983.26"
"2023-08";"North";"29261.79"
"2023-09";"South";"25623.84"
"2023-11";"North";"927.52"
"2023-12";"South";"8524.65"
"2024-01";"South";"22991.43"
"2024-01";"West";"31350.56"
"2024-02";"East";"12089.56"
"2024-04";"East";"3740.13"
"2024-04";"North";"67560.76"
"2024-05";"West";"49753.69"
"2024-07";"West";"158.46"
"2024-09";"East";"4717.14"
"2024-12";"West";"5196.99"
"2025-01";"West";"29767.28"
"2025-02";"South";"6140.94"
"2025-03";"North";"51303.21"
"2025-03";"South";"20455.89"
"2025-03";"West";"482.72"
"2025-04";"East";"23022.90"
"2025-05";"North";"24288.72"
"2025-05";"South";"20467.50"
"2025-06";"South";"20213.20"
"2025-10";"North";"36810.79"
"2025-11";"South";"14728.30"
"2026-01";"East";"13109.67"
"2026-01";"North";"46889.36"
"2026-01";"South";"1189.04"
"2026-01";"West";"13976.07"
"2026-02";"East";"28657.44"
"2026-03";"North";"28079.28"
"2026-04";"East";"32420.61"
"2026-04";"South";"937.38"
"2026-04";"West";"3695.80"
"2026-06";"East";"2674.76"
"2026-08";"East";"2433.12"
"2026-11";"South";"2398.92"
"2026-11";"West";"758.55"
"2026-12";"East";"36632.30"
"2026-12";"South";"13822.53"
"2027-01";"South";"21818.80"
"2027-02";"East";"13052.50"
"2027-03";"East";"2495.48"
"2027-03";"South";"10374.56"
"2027-04";"East";"3546.48"
"2027-04";"West";"11369.43"
"2027-05";"North";"20446.80"
"2027-06";"South";"22466.04"
"2027-07";"North";"2939.84"
"2027-08";"West";"32909.76"
"2027-09";"North";"17073.24"
"2027-10";"North";"22062.60"
"2027-11";"North";"3088.50"
"2027-12";"West";"9184.63"
"2028-01";"North";"3412.88"
"2028-02";"North";"13527.18"
"2028-02";"South";"20948.48"
"2028-02";"West";"26235.37"
"2028-03";"East";"26847.60"
"2028-03";"South";"1605.35"
"2028-03";"West";"1630.50"
"2028-04";"North";"14185.32"
"2028-04";"South";"1847.52"
"2028-04";"West";"644.61"
"2028-09";"West";"6268.18"
"2028-10";"East";"3371.53"
"2028-10";"West";"38521.20"
"2028-11";"East";"13812.82"
"2028-11";"North";"38218.60"
"2029-01";"East";"172.54"
"2029-01";"West";"8656.20"
"2029-02";"East";"16374.47"
"2029-02";"South";"5528.88"
"2029-02";"West";"1368.49"
"2029-03";"East";"796.26"
"2029-03";"West";"42668.95"
"2029-04";"South";"24364.60"
"2029-05";"North";"14966.90"
"2029-09";"North";"11670.19"
"2029-11";"East";"2041.32"
"2029-12";"West";"6229.96"
"2030-01";"East";"15201.38"
"2030-01";"North";"9638.00"
"2030-01";"West";"34277.18"
"2030-03";"East";"22359.52"
"2030-03";"West";"5927.50"
"2030-04";"West";"1848.29"
"2030-05";"South";"11041.68"
"2030-07";"South";"7900.76"
"2030-07";"West";"3690.09"
"2030-09";"South";"1808.73"
"2030-10";"East";"29816.55"
"2030-12";"North";"23180.10"
"2030-12";"South";"3762.28"
"2030-12";"West";"20144.96"
"2031-01";"South";"1748.39"
"2031-03";"East";"14821.38"
"2031-03";"South";"26814.56"
"2031-05";"East";"7978.88"
"2031-07";"East";"29520.03"
"2031-08";"West";"13797.75"
