TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T0029,04-03-24,Table,Furniture,East,Online,8,1019.36,8154.88,UPI,C4749
T0030,18-10-24,Cream,Beauty,East,Online,1,141.72,141.72,Net Banking,C2433
T0031,28-11-24,Laptop,Electronics,North,Online,1,730.04,730.04,UPI,C4806
T0032,30-12-24,Eggs,Groceries,South,Offline,1,3762.28,3762.28,Cash,C8630
T0033,07-05-24,Jeans,Clothing,South,Offline,2,1995.31,3990.62,Credit Card,C2028
T0034,24-04-24,Smartwatch,Electronics,East,Offline,3,1246.71,3740.13,Net Banking,C8234
T0035,01-09-24,Milk,Groceries,East,Offline,5,2076.11,10380.55,Credit Card,C3573
T0036,16-08-24,Bed,Furniture,South,Online,3,3056.83,9170.49,Net Banking,C1111
T0037,20-11-24,Jacket,Clothing,West,Offline,1,3496.21,3496.21,UPI,C6546
T0038,02-12-24,Lipstick,Beauty,West,Offline,6,1381.34,8288.04,Cash,C8526
T0039,17-06-24,Lipstick,Beauty,East,Online,6,4394.95,26369.7,Net Banking,C8895
T0040,04-07-24,Cupboard,Furniture,South,Offline,3,3220.44,9661.32,Credit Card,C2480
T0041,16-12-24,Chair,Furniture,West,Offline,6,1113.59,6681.54,UPI,C8483
T0042,15-03-25,Dress,Clothing,West,Online,2,2753.55,5507.1,UPI,C3335
T0043,22-09-24,Smartwatch,Electronics,West,Offline,2,867.62,1735.24,Cash,C8558
T0044,14-05-24,Headphones,Electronics,East,Offline,8,2465.29,19722.32,Net Banking,C5103
T0045,10-09-24,Milk,Groceries,West,Offline,4,4759.21,19036.84,UPI,C3863
T0046,31-01-25,Table,Furniture,South,Offline,1,1748.39,1748.39,Cash,C9105
T0047,21-05-24,Perfume,Beauty,South,Online,9,3458.7,31128.3,Net Banking,C5318
T0048,04-04-25,Bread,Groceries,South,Offline,7,4972.78,34809.46,UPI,C2032
T0049,18-03-24,Sofa,Furniture,South,Online,1,3093.58,3093.58,Net Banking,C8391
T0050,21-07-24,Eggs,Groceries,East,Online,1,3991.98,3991.98,Cash,C9212
T0051,09-11-24,Rice,Groceries,East,Offline,3,4755.23,14265.69,Cash,C4812
T0052,26-11-24,Rice,Groceries,West,Online,1,758.55,758.55,Credit Card,C1250
T0053,01-04-25,Face Wash,Beauty,West,Online,1,222.38,222.38,Credit Card,C1905
T0054,08-02-25,Sofa,Furniture,South,Offline,10,3487.13,34871.3,Credit Card,C3302
T0055,18-08-24,Face Wash,Beauty,West,Online,1,1648.7,1648.7,Net Banking,C3802
T0056,07-06-24,Milk,Groceries,South,Offline,1,3914.89,3914.89,Net Banking,C3774
T0057,08-02-24,Bed,Furniture,South,Online,1,2190.79,2190.79,UPI,C4151
T0058,06-03-25,Eggs,Groceries,East,Offline,1,2138.16,2138.16,Cash,C8684
T0059,14-02-24,Tablet,Electronics,South,Offline,9,4552.65,40973.85,Net Banking,C1394
T0060,19-08-24,Headphones,Electronics,South,Offline,9,1725.58,15530.22,UPI,C3463
T0061,20-04-24,Bed,Furniture,West,Offline,7,4989.62,34927.34,UPI,C5780
T0062,24-01-25,Sofa,Furniture,West,Online,8,3918.82,31350.56,Credit Card,C4608
T0063,24-04-25,Lipstick,Beauty,North,Online,7,3983.5,27884.5,UPI,C2153
T0064,27-06-24,Smartwatch,Electronics,South,Offline,6,3744.34,22466.04,Credit Card,C5099
T0065,21-04-24,Rice,Groceries,South,Online,7,2796.25,19573.75,Cash,C1424
T0066,06-06-24,Rice,Groceries,North,Online,3,2759.55,8278.65,Credit Card,C9692
T0067,28-11-24,Bed,Furniture,North,Online,8,4686.07,37488.56,Credit Card,C5025
T0068,27-12-24,Lipstick,Beauty,West,Offline,7,1312.09,9184.63,Cash,C5247
T0069,09-01-25,Shampoo,Beauty,South,Online,9,287,2583,Net Banking,C7955
T0070,11-08-24,Sofa,Furniture,East,Online,5,1614.17,8070.85,UPI,C8623
T0071,15-07-24,Smartphone,Electronics,West,Offline,9,2656.15,23905.35,UPI,C1142
T0072,04-04-24,Face Wash,Beauty,North,Online,6,723.27,4339.62,Net Banking,C4925
T0073,21-03-25,Milk,Groceries,West,Online,6,4954.98,29729.88,Net Banking,C3588
T0074,18-09-24,Cupboard,Furniture,West,Offline,1,4185.72,4185.72,Credit Card,C9300
T0075,18-05-24,Table,Furniture,East,Online,6,528.68,3172.08,Credit Card,C5942
T0076,12-10-24,Eggs,Groceries,South,Offline,3,4221.87,12665.61,UPI,C8992
T0077,29-09-24,Table,Furniture,North,Online,7,1667.17,11670.19,Net Banking,C9455
T0078,05-02-25,Eggs,Groceries,South,Online,6,3845.1,23070.6,Credit Card,C8009
T0079,20-03-24,Jeans,Clothing,North,Online,1,1619.64,1619.64,UPI,C7869
T0080,27-07-24,Dress,Clothing,North,Online,1,2939.84,2939.84,Net Banking,C5525
T0081,09-06-24,Bread,Groceries,East,Online,4,2769.77,11079.08,Credit Card,C7684
T0082,22-07-24,Cupboard,Furniture,West,Offline,6,1149.9,6899.4,UPI,C5881
T0083,30-01-24,Dress,Clothing,North,Offline,8,1204.75,9638,Credit Card,C6714
T0084,19-05-24,Shoes,Clothing,North,Online,1,4351.52,4351.52,Net Banking,C3461
T0085,02-04-24,Laptop,Electronics,East,Offline,6,1552.49,9314.94,Credit Card,C4228
T0086,29-05-24,Shoes,Clothing,North,Offline,5,2993.38,14966.9,Cash,C9287
T0087,11-09-24,Eggs,Groceries,South,Offline,8,3559.33,28474.64,Net Banking,C1616
T0088,02-11-24,Lipstick,Beauty,West,Offline,7,366.07,2562.49,UPI,C6463
T0089,04-09-24,Cream,Beauty,West,Offline,3,2736.23,8208.69,Cash,C7264
T0090,14-06-24,Eggs,Groceries,East,Online,8,1053.13,8425.04,UPI,C4469
T0091,01-12-24,Perfume,Beauty,East,Offline,4,1272.41,5089.64,Credit Card,C9042
T0092,25-06-24,Tablet,Electronics,South,Online,8,2526.65,20213.2,Cash,C7056
T0093,21-01-25,Lipstick,Beauty,South,Online,6,1471.3,8827.8,Credit Card,C2339
T0094,01-05-24,Laptop,Electronics,East,Offline,10,1398.39,13983.9,Cash,C2597
T0095,26-01-25,Headphones,Electronics,North,Offline,8,3676.42,29411.36,UPI,C3345
T0096,04-07-24,Laptop,Electronics,East,Offline,2,2773.31,5546.62,Credit Card,C9636
T0097,09-04-25,Cream,Beauty,West,Online,2,480.17,960.34,UPI,C7885
T0098,31-03-25,T-Shirt,Clothing,East,Online,7,2117.34,14821.38,Cash,C9722
T0099,12-08-24,Shoes,Clothing,West,Offline,8,2115.63,16925.04,Cash,C6952
T0100,11-11-24,Bed,Furniture,West,Online,10,4248.31,42483.1,UPI,C2491
T0101,01-07-24,Lipstick,Beauty,South,Online,4,3293.24,13172.96,Cash,C2540
T0102,06-11-24,Dress,Clothing,West,Online,9,2774.02,24966.18,UPI,C4637
T0103,28-04-24,Headphones,Electronics,West,Offline,3,214.87,644.61,UPI,C2117
T0104,05-03-25,Dress,Clothing,North,Online,3,1810.47,5431.41,Net Banking,C5284
T0105,25-03-25,Shoes,Clothing,North,Online,7,3198.26,22387.82,Net Banking,C6096
T0106,17-02-24,Smartphone,Electronics,East,Online,7,4283.03,29981.21,Cash,C8600
T0107,21-02-24,Face Wash,Beauty,North,Offline,2,1951.2,3902.4,UPI,C5825
T0108,15-11-24,Table,Furniture,South,Offline,10,264.81,2648.1,Credit Card,C7527
T0109,28-03-25,Smartwatch,Electronics,South,Offline,1,1605.35,1605.35,Cash,C1751
T0110,09-07-24,T-Shirt,Clothing,South,Offline,2,3753.93,7507.86,Net Banking,C9513
T0111,24-12-24,Chair,Furniture,West,Online,3,1732.33,5196.99,Cash,C2355
T0112,17-01-25,Shampoo,Beauty,East,Offline,8,4723.07,37784.56,Cash,C2788
T0113,04-04-25,Rice,Groceries,West,Offline,8,424.72,3397.76,Credit Card,C9844
T0114,14-09-24,Smartphone,Electronics,West,Offline,8,1783.4,14267.2,UPI,C7885
T0115,12-03-24,Jeans,Clothing,South,Offline,8,4365.01,34920.08,Net Banking,C9138
T0116,26-02-24,Jacket,Clothing,East,Offline,10,2547.48,25474.8,Credit Card,C9402
T0117,12-09-24,Bed,Furniture,West,Online,3,2728.38,8185.14,Credit Card,C2539
T0118,13-03-24,Milk,Groceries,South,Offline,1,949.75,949.75,Cash,C1164
T0119,12-10-24,Smartphone,Electronics,West,Online,1,2803.97,2803.97,Cash,C1900
T0120,01-10-24,Tablet,Electronics,East,Offline,9,208.37,1875.33,Cash,C5936
T0121,21-01-24,Tea,Groceries,East,Offline,5,1129.19,5645.95,Credit Card,C3887
T0122,10-12-24,Shampoo,Beauty,East,Offline,2,3610.42,7220.84,Credit Card,C2055
T0123,30-04-24,Lipstick,Beauty,West,Offline,1,1848.29,1848.29,Net Banking,C9775
T0124,17-10-24,Smartwatch,Electronics,West,Offline,9,3812.02,34308.18,Net Banking,C3127
T0125,05-08-24,Laptop,Electronics,East,Offline,9,4880.54,43924.86,UPI,C3145
T0126,08-01-24,Shampoo,Beauty,West,Offline,8,4428.6,35428.8,UPI,C5138
T0127,05-08-24,Eggs,Groceries,South,Online,3,3716.18,11148.54,Cash,C8452
T0128,09-09-24,Smartphone,Electronics,West,Offline,10,1956.23,19562.3,Credit Card,C6655
T0129,19-08-24,Jeans,Clothing,East,Online,7,926.54,6485.78,Credit Card,C8602
T0130,12-05-24,Jeans,Clothing,West,Online,6,122.44,734.64,Credit Card,C1942
T0131,12-03-25,Shoes,Clothing,South,Online,8,828.78,6630.24,Cash,C9574
T0132,18-09-24,Jacket,Clothing,East,Offline,9,4516.19,40645.71,Credit Card,C5581
T0133,14-08-24,Smartphone,Electronics,North,Online,9,4680.61,42125.49,Net Banking,C3486
T0134,11-12-24,Cream,Beauty,North,Online,8,546.04,4368.32,UPI,C9444
T0135,09-05-25,Table,Furniture,West,Offline,2,2882.58,5765.16,UPI,C7013
T0136,28-03-24,Tea,Groceries,East,Offline,6,4474.6,26847.6,Credit Card,C9386
T0137,30-03-24,Eggs,Groceries,East,Online,2,4623.95,9247.9,Cash,C4482
T0138,04-05-25,Laptop,Electronics,South,Online,8,1725.06,13800.48,Credit Card,C5857
T0139,13-07-24,Perfume,Beauty,East,Offline,1,4023.64,4023.64,UPI,C9176
T0140,06-10-24,Tablet,Electronics,East,Online,6,3889.17,23335.02,Cash,C3475
T0141,21-11-24,Cream,Beauty,South,Offline,6,2466.32,14797.92,Credit Card,C6392
T0142,09-06-24,Tablet,Electronics,South,Online,2,1871.81,3743.62,Net Banking,C2792
T0143,14-10-24,Bed,Furniture,South,Offline,6,4759.34,28556.04,Net Banking,C6038
T0144,26-01-25,Jacket,Clothing,East,Online,9,1456.63,13109.67,Cash,C9314
T0145,01-10-24,Cupboard,Furniture,South,Online,1,1005.67,1005.67,Cash,C2644
T0146,14-06-24,Shoes,Clothing,South,Online,3,1421.15,4263.45,Cash,C3177
T0147,13-06-24,Jacket,Clothing,South,Online,5,4572.57,22862.85,Net Banking,C3705
T0148,21-06-24,Rice,Groceries,West,Offline,5,1781.8,8909,Net Banking,C7436
T0149,19-01-24,Tablet,Electronics,West,Online,4,761.38,3045.52,Credit Card,C6548
T0150,09-11-24,Rice,Groceries,West,Online,9,3191.54,28723.86,Net Banking,C7179
T0151,15-04-24,Sofa,Furniture,East,Online,1,1698.96,1698.96,Net Banking,C6946
T0152,16-03-25,Cupboard,Furniture,West,Offline,10,652.6,6526,Credit Card,C5562
T0153,27-04-24,Perfume,Beauty,West,Online,4,2098.26,8393.04,Credit Card,C6164
T0154,12-02-24,Table,Furniture,East,Offline,3,3853.57,11560.71,UPI,C4392
T0155,23-08-24,Sofa,Furniture,North,Offline,9,3251.31,29261.79,UPI,C2637
T0156,02-04-25,Smartwatch,Electronics,North,Online,8,1781.7,14253.6,Credit Card,C2314
T0157,11-05-25,Smartwatch,Electronics,East,Offline,1,2769.72,2769.72,Credit Card,C9721
T0158,15-01-24,Chair,Furniture,North,Offline,4,185.59,742.36,UPI,C9216
T0159,05-01-25,Jeans,Clothing,North,Online,7,1389.06,9723.42,Credit Card,C3472
T0160,30-07-24,Perfume,Beauty,South,Online,4,1975.19,7900.76,Net Banking,C3579
T0161,16-10-24,Smartphone,Electronics,North,Offline,8,2076.63,16613.04,UPI,C3305
T0162,15-03-25,Lipstick,Beauty,North,Online,3,585.54,1756.62,Cash,C8139
T0163,16-10-24,Rice,Groceries,West,Online,7,550.78,3855.46,Cash,C9353
T0164,21-01-25,Cupboard,Furniture,South,Online,3,2286.4,6859.2,Cash,C1071
T0165,25-10-24,Laptop,Electronics,North,Online,6,3888.04,23328.24,Cash,C1922
T0166,23-09-24,Tablet,Electronics,South,Offline,8,3202.98,25623.84,Cash,C9723
T0167,16-01-24,Shoes,Clothing,East,Offline,1,2959.63,2959.63,UPI,C5582
T0168,19-08-24,Sofa,Furniture,South,Online,4,104.42,417.68,Cash,C8206
T0169,31-03-25,Milk,Groceries,South,Online,8,3351.82,26814.56,Net Banking,C1674
T0170,16-07-24,Chair,Furniture,South,Online,7,3576.76,25037.32,Credit Card,C4524
T0171,20-01-24,Cream,Beauty,North,Online,9,2225.64,20030.76,Cash,C1140
T0172,27-08-24,Eggs,Groceries,West,Offline,8,4113.72,32909.76,Credit Card,C8507
T0173,22-02-25,Headphones,Electronics,South,Online,9,3492.97,31436.73,UPI,C5641
T0174,05-11-24,Milk,Groceries,North,Online,3,546.85,1640.55,UPI,C9509
T0175,28-09-24,Tablet,Electronics,West,Online,2,3134.09,6268.18,Cash,C8471
T0176,12-05-25,Rice,Groceries,East,Offline,5,1631.43,8157.15,UPI,C4605
T0177,16-08-24,Smartphone,Electronics,North,Online,4,4994.5,19978,Credit Card,C6066
T0178,21-05-24,Shoes,Clothing,South,Offline,8,2040.03,16320.24,Cash,C5889
T0179,14-11-24,Shampoo,Beauty,North,Online,3,698.13,2094.39,UPI,C4119
T0180,26-04-24,T-Shirt,Clothing,South,Offline,2,468.69,937.38,Net Banking,C4617
T0181,25-05-24,Lipstick,Beauty,North,Offline,6,4048.12,24288.72,Net Banking,C6770
T0182,07-11-24,Milk,Groceries,South,Online,2,4472.38,8944.76,Net Banking,C5328
T0183,02-05-24,Tablet,Electronics,North,Offline,4,4535.87,18143.48,Credit Card,C5691
T0184,19-10-24,Smartphone,Electronics,North,Online,2,920.8,1841.6,UPI,C8623
T0185,05-12-24,Tablet,Electronics,West,Online,3,2283.64,6850.92,Cash,C3861
T0186,07-01-25,Dress,Clothing,East,Online,8,4127.65,33021.2,Cash,C4130
T0187,09-06-24,Shampoo,Beauty,South,Online,10,1483.38,14833.8,Net Banking,C6502
T0188,16-10-24,Shoes,Clothing,East,Offline,10,4543.14,45431.4,Credit Card,C2229
T0189,02-10-24,Table,Furniture,South,Online,6,4224.64,25347.84,UPI,C7224
T0190,03-11-24,Jeans,Clothing,South,Online,2,2341.62,4683.24,Credit Card,C7606
T0191,03-02-24,Shoes,Clothing,West,Online,9,2634.62,23711.58,UPI,C3364
T0192,12-07-24,Smartphone,Electronics,South,Offline,8,2474.72,19797.76,Net Banking,C5238
T0193,13-01-24,Shoes,Clothing,East,Offline,8,3302.67,26421.36,UPI,C4079
T0194,22-09-24,Cream,Beauty,South,Online,5,4326.1,21630.5,UPI,C8375
T0195,07-02-24,Smartphone,Electronics,North,Online,8,1818.8,14550.4,UPI,C4256
T0196,23-12-24,Lipstick,Beauty,South,Offline,3,2841.55,8524.65,Credit Card,C2800
T0197,27-03-24,Smartphone,Electronics,South,Offline,4,2593.64,10374.56,Cash,C7714
T0198,08-12-24,Headphones,Electronics,South,Offline,5,4588.57,22942.85,Credit Card,C3653
T0199,16-03-24,Smartwatch,Electronics,West,Offline,3,2950.05,8850.15,UPI,C3585
T0200,31-07-24,Milk,Groceries,East,Offline,3,3143.02,9429.06,UPI,C4094
T0201,18-11-24,Eggs,Groceries,East,Offline,6,3003.87,18023.22,Credit Card,C8200
T0202,02-08-24,Cupboard,Furniture,East,Online,9,786.6,7079.4,Cash,C3165
T0203,21-09-24,Chair,Furniture,West,Offline,7,2355.46,16488.22,Credit Card,C5266
T0204,14-06-24,Smartphone,Electronics,East,Online,9,764.18,6877.62,Cash,C7425
T0205,17-12-24,Table,Furniture,West,Online,4,801.33,3205.32,Cash,C7455
T0206,21-02-25,Chair,Furniture,North,Online,6,3269.94,19619.64,Net Banking,C4781
T0207,08-03-24,Headphones,Electronics,East,Online,3,1986.49,5959.47,Net Banking,C5837
T0208,14-02-25,Shoes,Clothing,East,Online,10,1100.18,11001.8,Credit Card,C5663
T0209,23-01-25,Rice,Groceries,East,Offline,9,1754.29,15788.61,UPI,C2733
T0210,12-03-25,Sofa,Furniture,North,Online,3,3154.4,9463.2,Credit Card,C5131
T0211,25-10-24,Smartwatch,Electronics,North,Offline,5,2696.51,13482.55,Cash,C1810
T0212,08-08-24,Smartwatch,Electronics,East,Online,1,4779.28,4779.28,Net Banking,C7307
T0213,09-10-24,Dress,Clothing,East,Online,3,690.37,2071.11,Cash,C4648
T0214,13-01-24,Bread,Groceries,North,Offline,8,1204.04,9632.32,Net Banking,C8935
T0215,24-02-25,Perfume,Beauty,East,Offline,4,3022.39,12089.56,Credit Card,C2752
T0216,09-12-24,Perfume,Beauty,North,Offline,10,1355.86,13558.6,UPI,C5614
T0217,18-10-24,Face Wash,Beauty,South,Offline,2,4818.89,9637.78,Net Banking,C5297
T0218,25-05-24,Lipstick,Beauty,South,Offline,10,2046.75,20467.5,UPI,C4296
T0219,13-01-24,Shoes,Clothing,West,Offline,4,3992.17,15968.68,Cash,C3936
T0220,25-04-24,Sofa,Furniture,East,Offline,10,2302.29,23022.9,UPI,C4486
T0221,21-08-24,Smartphone,Electronics,South,Offline,1,4507.32,4507.32,Credit Card,C2414
T0222,09-01-24,Tea,Groceries,North,Online,7,613.18,4292.26,Net Banking,C5806
T0223,22-07-24,Bread,Groceries,East,Online,10,1937.83,19378.3,Credit Card,C9959
T0224,12-01-24,Shoes,Clothing,North,Offline,7,2255.7,15789.9,Cash,C3652
T0225,03-05-25,Laptop,Electronics,South,Offline,6,768.99,4613.94,UPI,C6136
T0226,27-11-24,Shoes,Clothing,North,Online,5,617.7,3088.5,Credit Card,C5128
T0227,02-02-25,Headphones,Electronics,East,Online,8,507.61,4060.88,Cash,C8806
T0228,12-05-25,Dress,Clothing,South,Online,3,1208.72,3626.16,Cash,C8510
T0229,19-01-25,Shoes,Clothing,North,Online,6,1038.65,6231.9,Cash,C5963
T0230,28-11-24,Bed,Furniture,East,Online,7,1973.26,13812.82,Credit Card,C9086
T0231,02-03-24,T-Shirt,Clothing,North,Online,2,3429.62,6859.24,Credit Card,C5378
T0232,12-01-25,Jeans,Clothing,West,Offline,1,4254.6,4254.6,Net Banking,C2774
T0233,04-03-25,Face Wash,Beauty,East,Online,2,2365.47,4730.94,UPI,C7183
T0234,20-02-25,Headphones,Electronics,South,Online,7,2891.33,20239.31,Cash,C1901
T0235,26-03-24,Eggs,Groceries,North,Offline,9,3119.92,28079.28,Net Banking,C3805
T0236,01-07-24,Table,Furniture,West,Online,4,3280.6,13122.4,Cash,C5272
T0237,07-05-24,Sofa,Furniture,East,Offline,8,1527.54,12220.32,Cash,C3622
T0238,14-02-24,Perfume,Beauty,East,Offline,5,3006.85,15034.25,Net Banking,C4714
T0239,12-05-25,Perfume,Beauty,North,Online,1,272.34,272.34,UPI,C3389
T0240,18-03-25,Bread,Groceries,East,Online,7,480.49,3363.43,Net Banking,C2130
T0241,18-08-24,Smartwatch,Electronics,South,Online,5,4446.88,22234.4,Net Banking,C3307
T0242,18-06-24,Sofa,Furniture,East,Online,3,529.7,1589.1,Credit Card,C9891
T0243,17-02-25,Headphones,Electronics,North,Online,7,2849.56,19946.92,Credit Card,C5665
T0244,07-01-25,Shampoo,Beauty,East,Online,1,1256.26,1256.26,Credit Card,C1846
T0245,19-03-25,Headphones,Electronics,North,Online,7,3327.44,23292.08,UPI,C8655
T0246,27-05-24,Bed,Furniture,North,Online,8,2555.85,20446.8,Net Banking,C4698
T0247,06-12-24,Cream,Beauty,West,Online,4,479.92,1919.68,UPI,C9088
T0248,13-10-24,Rice,Groceries,South,Online,7,4356.39,30494.73,Cash,C8125
T0249,21-07-24,Cream,Beauty,South,Online,1,3353.7,3353.7,Net Banking,C2610
T0250,07-12-24,Perfume,Beauty,West,Offline,2,250.78,501.56,Net Banking,C8601
T0251,21-04-25,Sofa,Furniture,East,Online,7,3342.42,23396.94,Cash,C3155
T0252,23-02-24,Lipstick,Beauty,South,Online,6,4729.93,28379.58,Credit Card,C6478
T0253,11-01-25,Face Wash,Beauty,North,Online,5,2049.6,10248,Credit Card,C2951
T0254,07-03-24,Lipstick,Beauty,North,Offline,5,4671.59,23357.95,Cash,C6654
T0255,04-02-25,Laptop,Electronics,South,Online,10,4350.46,43504.6,UPI,C9671
T0256,23-04-25,Bed,Furniture,West,Online,6,719.67,4318.02,Net Banking,C7249
T0257,02-02-25,Rice,Groceries,West,Offline,5,3104.54,15522.7,UPI,C6598
T0258,02-01-25,Cupboard,Furniture,North,Online,3,1886.7,5660.1,Cash,C8717
T0259,07-03-25,Tablet,Electronics,North,Offline,9,4146.33,37316.97,Credit Card,C8944
T0260,24-09-24,Table,Furniture,East,Online,6,786.19,4717.14,Cash,C3248
T0261,23-11-24,Tablet,Electronics,North,Offline,4,231.88,927.52,Net Banking,C2784
T0262,25-03-24,Shoes,Clothing,West,Online,7,68.96,482.72,Cash,C9326
T0263,14-02-25,T-Shirt,Clothing,West,Online,8,1132.95,9063.6,Cash,C9483
T0264,26-04-24,Face Wash,Beauty,West,Online,1,3695.8,3695.8,UPI,C7100
T0265,06-01-25,Chair,Furniture,East,Online,8,1427.63,11421.04,Credit Card,C6611
T0266,30-01-25,Bread,Groceries,East,Online,3,822.56,2467.68,Cash,C8728
T0267,11-12-24,Cream,Beauty,East,Online,8,969.23,7753.84,Net Banking,C5376
T0268,23-02-24,Smartphone,Electronics,South,Online,3,2815.54,8446.62,UPI,C1682
T0269,23-02-24,Rice,Groceries,East,Offline,7,1605,11235,Net Banking,C8428
T0270,09-01-25,Eggs,Groceries,South,Online,1,700.38,700.38,UPI,C1689
T0271,19-07-24,Bread,Groceries,East,Online,8,3282.04,26256.32,Cash,C8053
T0272,30-01-24,Tablet,Electronics,East,Online,7,1819.1,12733.7,Net Banking,C8071
T0273,29-03-24,Tea,Groceries,West,Offline,5,4518.59,22592.95,UPI,C8740
T0274,24-04-25,Smartwatch,Electronics,North,Offline,9,3496.82,31471.38,Net Banking,C5328
T0275,24-05-24,Shoes,Clothing,West,Online,5,1036.04,5180.2,Credit Card,C4065
T0276,01-04-24,Smartphone,Electronics,East,Online,7,4370.08,30590.56,Credit Card,C9145
T0277,30-03-25,Sofa,Furniture,East,Offline,3,4370.54,13111.62,Cash,C5404
T0278,23-03-25,Cream,Beauty,West,Online,4,3817.33,15269.32,Cash,C7093
T0279,18-02-24,Headphones,Electronics,West,Online,10,214.11,2141.1,UPI,C2558
T0280,18-07-24,Face Wash,Beauty,South,Online,2,3526.78,7053.56,Credit Card,C5037
T0281,25-02-25,Cupboard,Furniture,South,Online,3,2046.98,6140.94,UPI,C6156
T0282,06-05-24,Milk,Groceries,South,Online,7,3440.16,24081.12,Cash,C5486
T0283,18-01-25,Laptop,Electronics,South,Online,10,1884.3,18843,UPI,C4123
T0284,07-04-24,Table,Furniture,East,Offline,7,3721.17,26048.19,Net Banking,C1687
T0285,11-02-25,Shampoo,Beauty,West,Online,10,4279.83,42798.3,Cash,C5359
T0286,11-01-24,Eggs,Groceries,East,Offline,7,3792.47,26547.29,Net Banking,C3128
T0287,01-11-24,Lipstick,Beauty,East,Online,6,3372.59,20235.54,Net Banking,C1054
T0288,31-05-24,Jacket,Clothing,East,Online,8,997.36,7978.88,Net Banking,C9623
T0289,26-12-24,Jeans,Clothing,South,Offline,3,4607.51,13822.53,Net Banking,C2981
T0290,13-07-24,Smartwatch,Electronics,North,Online,10,3689.06,36890.6,UPI,C4906
T0291,17-11-24,Cupboard,Furniture,South,Online,3,2413.05,7239.15,Cash,C2176
T0292,09-11-24,Smartwatch,Electronics,South,Online,6,2240.32,13441.92,Cash,C2970
T0293,27-02-25,Cream,Beauty,East,Online,5,878.36,4391.8,Cash,C6454
T0294,20-11-24,Bread,Groceries,North,Offline,2,3133.33,6266.66,Net Banking,C3790
T0295,28-04-24,Jeans,Clothing,North,Online,4,3546.33,14185.32,Credit Card,C5711
T0296,05-05-25,Jacket,Clothing,North,Offline,8,603.08,4824.64,Credit Card,C9626
T0297,08-04-25,Headphones,Electronics,West,Online,7,4015.69,28109.83,Cash,C8950
T0298,06-03-24,Perfume,Beauty,South,Offline,9,4974.73,44772.57,Cash,C9522
T0299,11-05-24,Lipstick,Beauty,South,Online,1,3683.85,3683.85,Credit Card,C1448
T0300,28-02-24,Headphones,Electronics,North,Offline,3,4509.06,13527.18,Credit Card,C7101
T0301,12-05-25,Rice,Groceries,West,Online,2,1708.65,3417.3,Credit Card,C1523
